time,current,total_pv,total_user,online_anchor
2026-05-15 21:01:09,91,38,38,91
2026-05-15 21:01:09,136,131,131,136
2026-05-15 21:01:10,195,227,227,195
2026-05-15 21:01:12,136,131,131,136
2026-05-15 21:01:26,195,227,227,195
2026-05-15 21:01:28,475,743,743,475
2026-05-15 21:01:30,346,498,498,346
2026-05-15 21:01:34,475,743,743,475
2026-05-15 21:01:36,475,743,743,475
2026-05-15 21:01:40,941,1716,1716,941
2026-05-15 21:01:44,346,498,498,346
2026-05-15 21:01:46,669,1140,1140,669
2026-05-15 21:01:52,600,1062,1062,600
2026-05-15 21:01:54,897,1629,1629,897
2026-05-15 21:01:56,793,1461,1461,793
2026-05-15 21:01:58,543,898,898,543
2026-05-15 21:02:02,897,1629,1629,897
2026-05-15 21:02:06,897,1629,1629,897
2026-05-15 21:02:08,793,1461,1461,793
2026-05-15 21:02:10,897,1629,1629,897
2026-05-15 21:02:18,1660,2961,2961,1660
